702035,26704,20130405,17.4,9,14.2,9,9999.9,0,1022.6,9,10,9,7.6,9,11.1,999.9,   21.2*,  12.2*, 0.00I,999.9,0,63683,-170483,63.683,-170.483,AK
702040,26703,20130405,19,9,14.2,9,9999.9,0,1022.5,9,8.7,9,22.8,9,24.1,28,   19.4*,  17.6*, 0.00I,999.9,0,63767,-171733,63.767,-171.733,AK
702070,26627,20130405,26.6,9,3.4,9,9999.9,0,1017.9,9,10,9,13.2,9,21,26,   28.4*,  21.2*, 0.00I,999.9,0,63883,-160800,63.883,-160.8,AK
702075,26644,20130405,26.6,9,4.4,9,9999.9,0,1012.2,9,10,9,13.4,9,15.9,21,   28.4*,  23.0*, 0.00I,999.9,0,62650,-160183,62.65,-160.183,AK
702084,26650,20130405,22,9,12,9,9999.9,0,1016.8,9,10,9,14.8,9,21,26,   26.6*,  15.8*, 0.00I,999.9,0,62783,-164483,62.783,-164.483,AK
702185,26622,20130405,25,9,18,9,9999.9,0,1011.3,9,10,9,12,9,15.9,18.1,   26.6*,  21.2*, 0.00I,999.9,0,60367,-166267,60.367,-166.267,AK
702186,26651,20130405,23,9,17.4,9,9999.9,0,1014.6,9,9.2,9,999.9,0,999.9,999.9,   26.6*,  19.4*, 0.00I,999.9,0,61517,-166133,61.517,-166.133,AK
702190,26615,20130405,22.4,8,15.4,8,1011.4,8,1005.6,8,10,8,17.3,8,19,999.9,   26.1*,  18.0*, 0.00I,999.9,0,60785,-161829,60.785,-161.829,AK
702220,26501,20130405,24.9,8,5.1,8,1021.6,8,1015.4,8,10,8,8.8,8,13,19,   28.9*,  18.0*, 0.00I,999.9,0,64733,-156933,64.733,-156.933,AK
702223,26602,20130405,24.8,9,4.8,9,9999.9,0,1015.1,9,10,9,8.9,9,11.1,17.1,   28.4*,  19.4*, 0.00I,999.9,0,64933,-161167,64.933,-161.167,AK
702310,26510,20130405,28,8,2.4,8,1015.8,8,1002.7,8,10,8,8.3,8,11.1,17.1,   33.1*,  19.9*, 0.00I,999.9,0,62957,-155610,62.957,-155.61,AK
702320,26516,20130405,29,9,12,9,9999.9,0,1010.4,9,10,9,7.4,9,8.9,999.9,   30.2*,  24.8*, 0.00I,999.9,0,61583,-159533,61.583,-159.533,AK
702325,26443,20130405,33.6,9,1.2,9,9999.9,0,997.7,9,10,9,15.1,9,19,27,   37.4*,  28.4*, 0.00I,999.9,0,61572,-149540,61.572,-149.54,AK
702460,26512,20130405,25.2,9,1.4,9,9999.9,0,990.9,9,10,9,4.2,9,5.1,999.9,   28.4*,  19.4*, 0.00I,999.9,0,63900,-152267,63.9,-152.267,AK
702510,26528,20130405,32.4,8,2.5,8,1010.8,8,997.2,8,10,8,6.4,8,9.9,14,   39.0*,  26.1*, 0.00I,999.9,0,62320,-150095,62.32,-150.095,AK
702590,26523,20130405,31.4,8,17.3,8,1010.3,8,1006.8,8,10,8,8.4,8,15.9,999.9,   37.9*,  23.0*, 0.00I,999.9,0,60580,-151239,60.58,-151.239,AK
702595,26559,20130405,34.8,9,13.2,9,9999.9,0,1006,9,10,9,4.4,9,11.1,17.1,   39.2*,  24.8*, 0.00I,999.9,0,60467,-151033,60.467,-151.033,AK
702600,26435,20130405,24.7,8,-3.9,8,1019.7,8,1005.3,8,10,8,9.7,8,12,20,   28.9*,  18.0*, 0.00I,999.9,0,64550,-149083,64.55,-149.083,AK
702610,26411,20130405,21,8,-0.1,8,1021.1,8,1003.4,8,10,8,13.4,8,18.1,999.9,   28.9*,  12.0*, 0.00I,999.9,0,64804,-147876,64.804,-147.876,AK
702615,26498,20130405,21.1,8,-2.2,8,1021,8,1003.4,8,10,8,12.2,8,17.1,21,   28.4*,  14.0*, 0.00I,18.9,0,64833,-147617,64.833,-147.617,AK
702627,26561,20130405,24.3,8,-0.7,8,1020.4,8,995.3,8,10,8,13.1,8,17.1,25.1,   28.0*,  19.0*, 0.00I,999.9,0,64727,-155470,64.727,-155.47,AK
702645,46403,20130405,20.8,9,0.2,9,9999.9,0,951.5,9,10,9,7.6,9,12,20,   26.6*,   6.8*, 0.00I,999.9,0,63733,-148917,63.733,-148.917,AK
702650,26407,20130405,23,8,-3.3,8,1020.2,8,999.1,8,10,8,9.8,8,15,999.9,   30.0*,  16.3*, 0.00I,999.9,0,64650,-147067,64.65,-147.067,AK
702670,26415,20130405,17.7,8,-8.2,8,1021.8,8,972,8,10,8,11.1,8,15,999.9,   21.9*,  12.0*, 0.00I,999.9,0,63994,-145721,63.994,-145.721,AK
702685,27518,20130405,-9.8,8,-14.3,8,1042.5,8,1038,8,9.6,8,10.1,8,11.1,999.9,   -8.0*, -13.9*, 0.00A,999.9,0,58967,-159050,58.967,-159.05,AK
