STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,LAT,LNG,LATFORMAT,LNGFORMAT,STATE
722199,53956,20130404,44,24,36.6,24,9999.9,0,989.5,24,8.3,24,2.9,24,12,15,   59.0*,  37.4*,99.99,999.9,11000,35933,-95000,35.933,-95,OK
722199,53956,20130405,42.6,9,35.4,9,9999.9,0,988.7,9,10,9,0.6,9,2.9,999.9,   53.6*,  35.6*, 0.00I,999.9,0,35933,-95000,35.933,-95,OK
722200,12832,20130402,65.8,24,52.7,24,1017.6,24,1017,24,10,24,5.7,24,13,17.1,77,55, 0.00G,999.9,0,29733,-85033,29.733,-85.033,FL
722200,12832,20130403,63.3,24,59,24,1016.6,19,1015.9,24,8.6,24,4.3,24,11.1,999.9,68,57, 0.00G,999.9,10000,29733,-85033,29.733,-85.033,FL
722200,12832,20130404,69.8,24,63.3,24,1012.2,16,1011.6,24,8.5,24,8.9,24,17.1,31.1,79,66, 0.38G,999.9,10000,29733,-85033,29.733,-85.033,FL
722200,12832,20130405,65.6,8,61.8,8,1011.7,6,1011.1,8,9.5,8,3,8,6,999.9,   68.0*,  64.0*, 0.00G,999.9,10000,29733,-85033,29.733,-85.033,FL
722201,3723,20130402,52.5,24,31.6,24,9999.9,0,1008.5,24,9.9,24,4.7,24,15,21,66.4,33.4, 0.00G,999.9,0,35584,-79101,35.584,-79.101,NC
722201,3723,20130403,49.6,24,24.9,24,9999.9,0,1013.4,24,10,24,3.7,24,9.9,17.1,61.7,39.4, 0.00I,999.9,0,35584,-79101,35.584,-79.101,NC
722201,3723,20130404,43.7,24,33.8,24,9999.9,0,1015.3,24,9.3,24,4.4,24,11.1,15.9,51.1,40.5, 0.51B,999.9,10000,35584,-79101,35.584,-79.101,NC
722201,3723,20130405,40.5,9,39.3,9,9999.9,0,1005,9,6.8,9,7.9,9,11.1,18.1,   41.0*,  40.1*, 0.27A,999.9,10000,35584,-79101,35.584,-79.101,NC
722202,12985,20130402,72.1,24,63,24,9999.9,0,979.2,24,9.9,24,9.5,24,17.1,20,81.7,68, 0.00I,999.9,0,29217,-99750,29.217,-99.75,TX
722202,12985,20130403,60.3,24,55.3,24,9999.9,0,979.9,24,9.9,24,7.5,24,34,42,75.4,52.7, 0.24G,999.9,10010,29217,-99750,29.217,-99.75,TX
722202,12985,20130404,56.5,24,44.7,24,9999.9,0,986.7,24,10,24,5.6,24,12,15.9,   75.4*,  47.7*, 1.06G,999.9,0,29217,-99750,29.217,-99.75,TX
722202,12985,20130405,62.6,9,44.4,9,9999.9,0,986.3,9,10,9,3.5,9,7,999.9,   75.4*,  52.7*, 0.00G,999.9,0,29217,-99750,29.217,-99.75,TX
722203,3041,20130402,25.6,24,20.1,24,9999.9,0,649.7,24,999.9,0,9.9,18,18.1,22,   35.6*,  21.2*, 0.00I,999.9,0,38483,-106317,38.483,-106.317,CO
722203,3041,20130403,22.2,24,19.6,24,9999.9,0,651,24,999.9,0,10.1,13,17.1,19,   33.8*,  17.6*, 0.00I,999.9,0,38483,-106317,38.483,-106.317,CO
722203,3041,20130404,28.6,24,14.2,24,9999.9,0,655.7,24,999.9,0,12,24,25.1,35,   37.4*,  23.0*, 0.00I,999.9,0,38483,-106317,38.483,-106.317,CO
722203,3041,20130405,33,9,14,9,9999.9,0,655.7,9,999.9,0,19.6,9,28.9,33,   35.6*,  30.2*, 0.00I,999.9,0,38483,-106317,38.483,-106.317,CO
722204,4996,20130402,34,24,16.9,24,9999.9,0,1001.9,24,10,24,7.5,24,14,26,44.1,23, 0.00I,999.9,0,42050,-90100,42.05,-90.1,IL
722204,4996,20130403,35.2,24,15.2,24,9999.9,0,1005.8,24,10,24,4.6,24,9.9,999.9,48.2,19, 0.00I,999.9,0,42050,-90100,42.05,-90.1,IL
722204,4996,20130404,40.7,24,24.1,24,9999.9,0,999.8,24,10,24,4.7,24,8.9,15,   60.6*,  27.9*, 0.00I,999.9,0,42050,-90100,42.05,-90.1,IL
722204,4996,20130405,47.7,9,33.8,9,9999.9,0,994.6,9,10,9,6.3,9,9.9,999.9,   56.1*,  38.5*, 0.00I,999.9,0,42050,-90100,42.05,-90.1,IL
722208,4224,20130402,49.9,24,44.9,24,9999.9,0,1019.2,24,10,24,6.7,24,12,17.1,   55.4*,  48.2*, 0.00I,999.9,0,48717,-122917,48.717,-122.917,WA
722208,4224,20130403,49.1,24,44.4,24,9999.9,0,1020.2,24,9.9,24,1.8,24,8,999.9,   53.6*,  46.4*, 0.00I,999.9,0,48717,-122917,48.717,-122.917,WA
722208,4224,20130404,48.2,24,46.9,24,9999.9,0,1010.5,24,8.4,24,1.4,24,6,999.9,   51.8*,  44.6*,99.99,999.9,10000,48717,-122917,48.717,-122.917,WA
722208,4224,20130405,51.2,9,49,9,9999.9,0,1001.2,9,7.1,9,5.6,9,12,20,   53.6*,  48.2*,99.99,999.9,10000,48717,-122917,48.717,-122.917,WA
722209,12986,20130402,70.7,24,66.4,24,9999.9,0,1013,24,8.3,24,9.4,24,18.1,22.9,78.4,66.6, 0.05G,999.9,10000,28650,-96683,28.65,-96.683,TX
722209,12986,20130403,65.8,24,61.2,24,9999.9,0,1010.8,24,9.3,24,10.1,24,21,27,72.1,57.4, 0.72G,999.9,10000,28650,-96683,28.65,-96.683,TX
722209,12986,20130404,56.1,24,47.9,24,9999.9,0,1018.2,24,10,24,12.5,24,19,25.1,   63.3*,  52.0*, 0.00G,999.9,10000,28650,-96683,28.65,-96.683,TX
722209,12986,20130405,52.8,9,43.8,9,9999.9,0,1020.4,9,10,9,9.5,9,13,18.1,   59.9*,  47.3*, 0.00I,999.9,0,28650,-96683,28.65,-96.683,TX
722210,13858,20130402,64.4,24,49.8,24,1018.5,24,1014.9,24,10,24,6,24,9.9,999.9,77,50, 0.00I,999.9,0,30483,-86517,30.483,-86.517,FL
722210,13858,20130403,60.7,24,56.2,23,1016.1,20,1012.8,24,8.3,24,6.1,24,19,32.1,68.2,55.4, 0.77B,999.9,10010,30483,-86517,30.483,-86.517,FL
722210,13858,20130404,65.2,24,60.7,24,1012.8,16,1009.5,24,9.4,24,5.6,24,11.1,999.9,71.8,60.4, 0.00H,999.9,10000,30483,-86517,30.483,-86.517,FL
722210,13858,20130405,62.3,8,58.6,8,1012.3,4,1008.7,8,10,8,6.5,8,8.9,15,   64.4*,  57.9*, 0.00I,999.9,0,30483,-86517,30.483,-86.517,FL
722211,94087,20130402,41.8,24,23.7,24,9999.9,0,917.8,24,10,24,6.4,24,14,19,62.1,25.7, 0.00I,999.9,0,41967,-100567,41.967,-100.567,NE
722211,94087,20130403,47,24,28,24,9999.9,0,917.1,24,10,24,11,24,22,29.9,60.1,34.7, 0.00I,999.9,0,41967,-100567,41.967,-100.567,NE
722211,94087,20130404,46.5,24,24.6,24,9999.9,0,916.5,24,10,24,9.6,24,19,25.1,   60.1*,  33.3*, 0.00I,999.9,0,41967,-100567,41.967,-100.567,NE
722211,94087,20130405,47.6,9,21.7,9,9999.9,0,914.9,9,10,9,6.4,9,8,999.9,   58.3*,  41.2*, 0.00I,999.9,0,41967,-100567,41.967,-100.567,NE
722212,92814,20130402,65.8,24,56.6,24,1018,24,1017.7,24,10,24,6.2,24,12,18.1,71.1,57, 0.00I,999.9,0,29967,-81333,29.967,-81.333,FL
722212,92814,20130403,66.2,24,59.7,24,1018.7,23,1018.4,24,9.5,24,6.1,24,11.1,999.9,75.9,57, 0.13A,999.9,10000,29967,-81333,29.967,-81.333,FL
722212,92814,20130404,70.1,24,65.2,24,1015,17,1015.2,24,7.8,24,10.2,24,15.9,20,77,64.9, 0.43G,999.9,10000,29967,-81333,29.967,-81.333,FL
722212,92814,20130405,68.2,8,62.8,8,1012.5,8,1012.2,8,10,8,2.7,8,5.1,999.9,   70.0*,  66.9*, 0.00G,999.9,0,29967,-81333,29.967,-81.333,FL
722213,12819,20130402,71.9,24,55.8,24,1017.6,21,1014.9,24,8,24,4.3,24,9.9,999.9,   84.0*,  57.2*, 0.00G,999.9,100000,28823,-81809,28.823,-81.809,FL
722213,12819,20130403,72.3,24,59.3,24,1017.7,23,1015.1,24,9.7,24,6.2,24,12,17.1,84,61, 0.00G,999.9,10000,28823,-81809,28.823,-81.809,FL
722213,12819,20130404,70.7,24,65.9,24,1014.7,15,1012.6,24,8.9,24,6.5,24,18.1,24.1,   73.9*,  66.2*, 0.88G,999.9,10010,28823,-81809,28.823,-81.809,FL
722213,12819,20130405,68.4,8,63.7,8,1012.9,8,1010.3,8,10,8,3,8,8.9,999.9,   69.8*,  66.9*, 0.02G,999.9,0,28823,-81809,28.823,-81.809,FL
722214,3070,20130402,31.1,24,28.3,24,9999.9,0,890.6,24,5.6,24,10,24,15.9,20,34.9,28.8, 0.00I,999.9,0,35858,-102013,35.858,-102.013,TX
722214,3070,20130403,31.5,24,30.4,24,9999.9,0,891.9,24,4.1,24,9.5,24,15,17.1,36,29.3,99.99,999.9,11000,35858,-102013,35.858,-102.013,TX
722214,3070,20130404,41.5,24,30.3,24,9999.9,0,891.9,24,8.8,24,4.4,24,8,14,   67.1*,  24.6*, 0.00I,999.9,0,35858,-102013,35.858,-102.013,TX
722214,3070,20130405,49.4,9,29.8,9,9999.9,0,890.8,9,10,9,8.3,9,12,999.9,   63.7*,  38.7*, 0.00I,999.9,0,35858,-102013,35.858,-102.013,TX
722215,13884,20130402,63,24,44.7,24,1018.4,24,1011.8,24,8.4,24,3.5,24,11.1,15,82.9,42.1, 0.00G,999.9,0,30780,-86523,30.78,-86.523,FL
722215,13884,20130403,57.9,24,50.4,24,1016.9,21,1010.1,24,8.3,24,3.5,24,15,24.1,73,53.1, 0.00G,999.9,10000,30780,-86523,30.78,-86.523,FL
722215,13884,20130404,64.3,24,58.5,24,1013,15,1006.9,24,7.5,24,3.3,24,8,999.9,75,59, 0.42G,999.9,10000,30780,-86523,30.78,-86.523,FL
722215,13884,20130405,62.4,8,57.7,8,1012.1,8,1005.7,8,8.1,8,5.5,8,9.9,999.9,   66.9*,  57.0*, 0.00G,999.9,0,30780,-86523,30.78,-86.523,FL
722216,99999,20130402,59.3,24,38.2,24,1017.5,24,9999.9,0,10,24,4.6,24,13,999.9,75.7,41.5, 0.03G,999.9,0,33617,-81083,33.617,-81.083,SC
722216,99999,20130403,54.4,17,39.5,17,1020.3,16,9999.9,0,9.9,17,6,17,14,999.9,73.2,46, 0.00G,999.9,0,33617,-81083,33.617,-81.083,SC
722216,99999,20130404,48.7,24,41.3,24,1020.2,9,9999.9,0,9.4,24,7.7,24,14,21,63.3,44.1, 0.06G,999.9,10000,33617,-81083,33.617,-81.083,SC
722217,63881,20130402,60.4,24,41.4,24,9999.9,0,1007.3,24,10,24,3.1,24,8.9,999.9,   75.2*,  46.4*, 0.00I,999.9,0,32564,-82985,32.564,-82.985,GA
722217,63881,20130403,56.3,24,42.4,24,9999.9,0,1009.2,24,10,24,3.1,24,8.9,999.9,   64.4*,  44.6*,99.99,999.9,10000,32564,-82985,32.564,-82.985,GA
722217,63881,20130404,49.4,24,48.4,24,9999.9,0,1007.2,24,7.7,24,8.2,24,15,26,   55.4*,  44.6*,99.99,999.9,10000,32564,-82985,32.564,-82.985,GA
722217,63881,20130405,44.4,9,44.4,9,9999.9,0,1004,9,8.3,9,4.5,9,8,999.9,   44.6*,  42.8*, 0.00I,999.9,0,32564,-82985,32.564,-82.985,GA
722218,99999,20130402,44.5,24,20.8,24,9999.9,0,9999.9,0,10,24,10.1,24,15,23.9,   50.0*,  37.4*, 0.00I,999.9,0,38533,-76033,38.533,-76.033,MD
722218,99999,20130403,40.2,24,21.2,24,9999.9,0,9999.9,0,10,24,5.8,24,15.9,22.9,   50.0*,  28.4*, 0.00I,999.9,0,38533,-76033,38.533,-76.033,MD
722218,99999,20130404,39.2,24,19.2,24,9999.9,0,9999.9,0,10,24,5.8,24,13,21,   50.0*,  28.4*, 0.00I,999.9,0,38533,-76033,38.533,-76.033,MD
722220,99999,20130402,65.5,4,50.5,4,1018.3,4,1013.5,4,9.3,4,3.3,4,8,999.9,   75.0*,  55.0*, 0.00I,999.9,0,30483,-87183,30.483,-87.183,FL
722220,99999,20130403,61.5,4,56.9,4,1014.8,4,1010,4,8.9,4,8.2,4,16.9,999.9,   66.0*,  57.0*,99.99,999.9,10000,30483,-87183,30.483,-87.183,FL
722220,99999,20130404,65,4,58.2,4,1013,4,1008.2,4,8.5,4,4.5,4,8,999.9,   73.9*,  61.0*, 0.00I,999.9,0,30483,-87183,30.483,-87.183,FL
722223,13899,20130402,65.4,24,50,24,1018.2,24,1013.7,24,9.9,24,5,24,9.9,999.9,77,53.1, 0.00G,999.9,0,30478,-87187,30.478,-87.187,FL
722223,13899,20130403,61.2,24,56.6,24,1015.3,22,1011,24,8,24,5.9,24,17.1,27,68,55, 0.00G,999.9,10010,30478,-87187,30.478,-87.187,FL
722223,13899,20130404,64.6,24,58.4,24,1013,23,1008.5,24,8.7,24,5.5,24,9.9,15,73.9,60.1, 1.25G,999.9,0,30478,-87187,30.478,-87.187,FL
722223,13899,20130405,60.4,8,54.9,8,1012.6,7,1008.3,8,10,8,9.1,8,13,18.1,   64.4*,  55.4*, 0.00G,999.9,0,30478,-87187,30.478,-87.187,FL
722224,53862,20130402,65.5,24,51.3,24,9999.9,0,9999.9,0,6.5,24,3.2,24,12,16.9,82.9,46.9, 0.03G,999.9,100000,30067,-83583,30.067,-83.583,FL
722224,53862,20130403,65.6,24,58.4,24,9999.9,0,9999.9,0,10,24,3.6,24,9.9,15.9,   77.0*,  55.0*, 0.01G,999.9,10000,30067,-83583,30.067,-83.583,FL
722224,53862,20130404,67.9,24,66.4,24,9999.9,0,9999.9,0,8.6,24,9.6,24,16.9,22.9,   75.2*,  64.0*, 0.50G,999.9,10000,30067,-83583,30.067,-83.583,FL
722224,53862,20130405,66,8,66,8,9999.9,0,1010.2,8,7.6,8,2.3,8,5.1,999.9,   68.0*,  64.4*, 0.02G,999.9,10000,30067,-83583,30.067,-83.583,FL
722225,3855,20130402,61.7,24,50.5,24,1018.2,21,1017,24,9,24,4.1,24,9.9,999.9,75,46, 0.00G,999.9,110000,30350,-87317,30.35,-87.317,FL
722225,3855,20130403,61.7,24,58.4,24,1015.4,17,1014,24,7.1,24,7.9,24,24.1,31.1,66.9,55, 0.01G,999.9,10010,30350,-87317,30.35,-87.317,FL
722225,3855,20130404,63.3,24,58.4,24,1013,20,1011.7,24,9.1,24,5.5,24,12,14,   71.6*,  59.0*, 1.23G,999.9,0,30350,-87317,30.35,-87.317,FL
722225,3855,20130405,59.4,8,54.6,8,1012.9,6,1011.5,8,10,8,7.1,8,8.9,15.9,   62.6*,  55.9*, 0.00G,999.9,0,30350,-87317,30.35,-87.317,FL
722226,93841,20130402,62.2,24,44.9,24,1016.8,24,1010.8,24,8.7,24,4.8,24,13,14,81,43, 0.00G,999.9,0,30717,-87017,30.717,-87.017,FL
722226,93841,20130403,57.5,24,52.5,24,1014.9,18,1008.8,24,7.6,24,4.5,24,19,31.1,69.1,53.1, 0.00G,999.9,10010,30717,-87017,30.717,-87.017,FL
722226,93841,20130404,63.3,24,60.2,24,1011.5,17,1005.7,24,6.8,24,3.5,24,8.9,14,   73.0*,  59.0*, 0.54G,999.9,100000,30717,-87017,30.717,-87.017,FL
722226,93841,20130405,59.7,8,58.7,8,1011.2,4,1005,8,8.3,8,9,8,12,999.9,   64.9*,  55.0*, 0.00G,999.9,0,30717,-87017,30.717,-87.017,FL
722230,13894,20130402,62.4,24,47.2,24,1018.1,23,1010.3,24,8.2,24,4,24,12,17.1,79,46, 0.00G,999.9,100000,30688,-88246,30.688,-88.246,AL
722230,13894,20130403,60.4,24,53.4,24,1015.5,19,1007.5,24,7.3,24,7.7,24,32.1,44.1,79,46, 0.40G,999.9,10010,30688,-88246,30.688,-88.246,AL
722230,13894,20130404,58.4,24,52.3,24,1013.5,20,1005.8,24,7.8,24,5.5,24,13,15,   69.8*,  53.6*, 0.91G,999.9,10000,30688,-88246,30.688,-88.246,AL
722230,13894,20130405,53.8,8,48.9,8,1014.3,6,1006.4,8,9,8,7.2,8,8.9,14,   57.9*,  50.0*, 0.00G,999.9,10000,30688,-88246,30.688,-88.246,AL
722231,99999,20130402,68.2,24,60.3,24,9999.9,0,9999.9,0,8.4,24,8.9,24,15.9,21,   80.6*,  62.6*,99.99,999.9,10010,31666,-98149,31.666,-98.149,TX
722231,99999,20130403,51.5,24,50.7,24,9999.9,0,9999.9,0,6,24,12.8,24,22.9,28,   64.4*,  46.4*, 1.11B,999.9,110010,31666,-98149,31.666,-98.149,TX
722231,99999,20130404,46.1,23,42.2,23,9999.9,0,9999.9,0,8.5,23,11.5,23,16.9,20,   53.6*,  42.8*, 0.01G,999.9,10000,31666,-98149,31.666,-98.149,TX
722235,13838,20130402,61.2,24,50.7,24,1018.6,23,1017.7,24,8,24,3.7,24,11.1,14,77,48, 0.01G,999.9,100000,30617,-88067,30.617,-88.067,AL
722235,13838,20130403,60.4,24,56.4,24,1016,21,1014.7,24,8.3,24,7.9,24,35.9,47,69.1,54, 0.18G,999.9,10010,30617,-88067,30.617,-88.067,AL
722235,13838,20130404,60.1,24,55.4,24,1013.5,18,1012.9,24,8.7,24,6.1,24,11.1,18.1,   69.1*,  55.4*, 1.08G,999.9,0,30617,-88067,30.617,-88.067,AL
722235,13838,20130405,56.1,8,51.6,8,1014.1,4,1013.5,8,10,8,10,8,13,18.1,   61.0*,  51.8*, 0.01G,999.9,0,30617,-88067,30.617,-88.067,AL
722238,63873,20130402,63.4,24,47.6,24,1006.9,22,1006.6,24,9.8,24,3.6,24,8,999.9,81,45, 0.00G,999.9,0,31350,-85650,31.35,-85.65,AL
722238,63873,20130403,58.6,24,47.4,24,1009.6,22,1005.8,24,9.4,24,5,24,15.9,22,75,54, 0.00G,999.9,10000,31350,-85650,31.35,-85.65,AL
722238,63873,20130404,58.7,24,55.7,24,1012.7,18,1002.3,24,7.6,24,7.3,24,12,18.1,62.1,57, 0.25G,999.9,10000,31350,-85650,31.35,-85.65,AL
722238,63873,20130405,53.4,8,51.8,8,1011.5,6,1001.1,8,6.3,8,5.9,8,8,999.9,   55.9*,  51.1*, 0.00G,999.9,0,31350,-85650,31.35,-85.65,AL
722239,53861,20130402,61.8,24,45.9,24,1017.7,24,1009.1,24,9.1,24,1.6,24,7,14,80.1,44.1, 0.01G,999.9,0,31350,-85750,31.35,-85.75,AL
722239,53861,20130403,57.3,24,46.2,24,1016.8,23,1008.2,24,9.3,24,3.4,24,8.9,18.1,73,51.1, 0.00G,999.9,10010,31350,-85750,31.35,-85.75,AL
722239,53861,20130404,58.6,18,54.9,18,1013.2,16,1004.8,18,7.8,18,4.9,18,8.9,18.1,63,57, 0.33G,999.9,10000,31350,-85750,31.35,-85.75,AL
722239,53861,20130405,53.5,9,50.7,9,1012.5,6,1003.7,9,7.7,9,3.1,9,8,999.9,   57.2*,  51.1*, 0.00G,999.9,10010,31350,-85750,31.35,-85.75,AL
722241,54925,20130402,31.9,24,18.1,24,9999.9,0,973.2,24,10,24,2.4,24,8.9,999.9,52.7,17.4, 0.00I,999.9,0,42250,-96983,42.25,-96.983,NE
722241,54925,20130403,41.7,24,23.4,24,9999.9,0,972.4,24,9.9,24,11.4,24,20,26,59.9,28.4, 0.00I,999.9,0,42250,-96983,42.25,-96.983,NE
722241,54925,20130404,46.5,24,25.9,24,9999.9,0,968.3,24,10,24,9.8,24,15,21,   61.7*,  35.4*, 0.00I,999.9,0,42250,-96983,42.25,-96.983,NE
722241,54925,20130405,41.9,9,22.3,9,9999.9,0,968.8,9,10,9,4.9,9,8,999.9,   57.2*,  30.9*, 0.00I,999.9,0,42250,-96983,42.25,-96.983,NE
722244,99999,20130402,43.9,24,19.4,24,9999.9,0,9999.9,0,10,24,6.7,24,15.9,23.9,   51.8*,  30.2*, 0.00I,999.9,0,38981,-76922,38.981,-76.922,MD
722244,99999,20130403,42.6,24,18.2,24,9999.9,0,9999.9,0,10,24,6,24,18.1,23.9,   53.6*,  28.4*, 0.00I,999.9,0,38981,-76922,38.981,-76.922,MD
722244,99999,20130404,40.6,24,19.1,24,9999.9,0,9999.9,0,10,24,3,24,13,18.1,   51.8*,  26.6*, 0.00I,999.9,0,38981,-76922,38.981,-76.922,MD
722246,3844,20130402,62.8,24,46.8,23,1018.1,22,9999.9,0,9.5,24,4.7,24,12,16.9,   80.6*,  44.6*, 0.00I,999.9,0,30650,-86517,30.65,-86.517,FL
722246,3844,20130403,57.7,24,52.3,24,1016.5,23,9999.9,0,8.9,24,5,24,15,22,80.1,53.6, 0.29A,999.9,10010,30650,-86517,30.65,-86.517,FL
722246,3844,20130404,64,24,60,24,1012.8,17,9999.9,0,9,24,4.6,24,8,999.9,   73.4*,  59.0*, 0.22A,999.9,0,30650,-86517,30.65,-86.517,FL
722247,54785,20130402,36.9,24,12.1,24,1014.8,24,1011.1,24,10,24,6.9,23,15.9,22.9,46.9,25, 0.00G,999.9,0,40633,-74667,40.633,-74.667,NJ
722247,54785,20130403,37,24,12.6,24,1020.4,24,1016.7,24,10,24,5.4,24,14,22,46.9,24.1, 0.00G,999.9,0,40633,-74667,40.633,-74.667,NJ
722247,54785,20130404,39.9,24,16.1,24,1025.4,24,1021.6,24,10,24,4.4,24,9.9,18.1,54,23, 0.00G,999.9,0,40633,-74667,40.633,-74.667,NJ
722247,54785,20130405,42.1,8,24,8,1018,8,1014.3,8,10,8,2,8,4.1,999.9,   46.0*,  39.0*, 0.00I,999.9,0,40633,-74667,40.633,-74.667,NJ
722248,53995,20130402,66.4,24,60,24,9999.9,0,9999.9,0,7.8,24,4.1,24,13,16.9,   75.2*,  55.4*, 0.00I,999.9,100000,30131,-93376,30.131,-93.376,LA
722248,53995,20130403,60.6,24,56.7,24,9999.9,0,9999.9,0,8.6,24,9.7,24,18.1,33,   71.6*,  51.8*,99.99,999.9,10010,30131,-93376,30.131,-93.376,LA
722248,53995,20130404,49.8,24,47,24,9999.9,0,9999.9,0,8.7,24,8.3,24,15,18.1,   51.8*,  46.4*,99.99,999.9,10000,30131,-93376,30.131,-93.376,LA
722249,63887,20130402,35.3,24,23,24,9999.9,0,998.8,24,10,24,3.7,24,13,20,47.7,20.3, 0.00I,999.9,0,39531,-84395,39.531,-84.395,OH
722249,63887,20130403,35.3,24,20.6,24,9999.9,0,1003.7,24,10,24,3.9,24,12,18.1,47.7,20.3, 0.00I,999.9,0,39531,-84395,39.531,-84.395,OH
722249,63887,20130404,40.7,24,21.9,24,9999.9,0,1000.3,24,10,24,3.8,24,9.9,999.9,   55.4*,  32.5*, 0.00I,999.9,0,39531,-84395,39.531,-84.395,OH
722249,63887,20130405,37.1,9,28.9,9,9999.9,0,992.6,9,10,9,0,9,999.9,999.9,   48.0*,  29.8*, 0.00I,999.9,0,39531,-84395,39.531,-84.395,OH
722250,13829,20130402,58.4,24,43.2,24,1018.5,21,1009.7,24,8.6,24,2.2,24,8,999.9,78.3,42.1, 0.00G,999.9,0,32333,-85000,32.333,-85,GA
722250,13829,20130403,56.1,24,40.4,24,1018.9,20,1010.1,24,10,24,3.6,24,11.1,19,67.6,45.3, 0.00H,999.9,10000,32333,-85000,32.333,-85,GA
722250,13829,20130404,51.4,24,48.1,24,1015.8,8,1007.3,23,9.3,24,6.5,24,11.1,17.1,   56.1*,  48.2*, 0.16G,999.9,10000,32333,-85000,32.333,-85,GA
722250,13829,20130405,45.8,8,43.5,8,1014.4,5,1005.5,8,9.5,8,4.4,8,7,999.9,   47.8*,  44.6*, 0.00G,999.9,0,32333,-85000,32.333,-85,GA
722251,53958,20130402,60.5,8,50.1,8,9999.9,0,1007.3,8,10,8,1.4,8,4.1,999.9,   70.7*,  49.5*, 0.00I,999.9,0,32514,-92600,32.514,-92.6,LA
722252,54923,20130402,26.9,24,21,24,9999.9,0,982.7,24,10,24,1.1,24,8,999.9,36,19.4, 0.00I,999.9,0,44733,-96267,44.733,-96.267,MN
722252,54923,20130403,35.8,24,26.4,24,9999.9,0,980.7,24,10,24,6,24,15.9,22,62.8,23.5, 0.00I,999.9,0,44733,-96267,44.733,-96.267,MN
722252,54923,20130404,42.5,24,30.6,24,9999.9,0,975.6,24,10,24,12.1,24,22.9,32.1,61,32.9, 0.00I,999.9,0,44733,-96267,44.733,-96.267,MN
722252,54923,20130405,29.6,9,24.7,9,9999.9,0,980.2,9,10,9,4.1,9,11.1,15.9,   34.7*,  25.7*, 0.00I,999.9,0,44733,-96267,44.733,-96.267,MN
722253,53992,20130402,61.3,24,50.6,24,9999.9,0,1012.9,24,10,24,2.8,24,9.9,17.1,72.3,54.5, 0.00I,999.9,0,32750,-91883,32.75,-91.883,LA
722253,53992,20130403,49.2,24,40.8,24,9999.9,0,1012.7,24,7.8,24,4.7,24,11.1,19,62.8,44.8, 0.11G,999.9,10000,32750,-91883,32.75,-91.883,LA
722253,53992,20130404,46.5,24,43.4,24,9999.9,0,1011.7,24,6.6,24,1.5,24,8,14,48.2,45, 0.38G,999.9,10000,32750,-91883,32.75,-91.883,LA
722253,53992,20130405,47.3,9,41.9,9,9999.9,0,1013,9,10,9,2.7,9,8,999.9,   48.2*,  45.1*, 0.00G,999.9,0,32750,-91883,32.75,-91.883,LA
722255,93842,20130402,64.1,24,40.4,24,1018.3,24,1004.1,24,10,24,2.6,24,7,999.9,79,50, 0.13G,999.9,0,32516,-84942,32.516,-84.942,GA
722255,93842,20130403,59.4,24,36,24,1018.9,22,1004.7,24,10,24,5.8,24,15.9,22,75,50, 0.00G,999.9,0,32516,-84942,32.516,-84.942,GA
722255,93842,20130404,51.1,24,46,24,1016.4,20,1001.9,24,9,24,10.7,24,14,22,57,48, 0.12G,999.9,10000,32516,-84942,32.516,-84.942,GA
722255,93842,20130405,46,8,42.2,8,1014.1,8,999.9,8,9.3,8,5.5,8,8,999.9,   48.0*,  45.0*, 0.23G,999.9,0,32516,-84942,32.516,-84.942,GA
722256,64774,20130402,37.6,24,15.7,24,9999.9,0,1010.2,24,10,24,8.4,24,15.9,25.1,   44.6*,  32.0*, 0.00I,999.9,0,42100,-70667,42.1,-70.667,MA
722256,64774,20130403,37.8,24,13.5,24,9999.9,0,1014.6,24,10,24,10.4,24,15.9,28,   46.4*,  32.0*, 0.00I,999.9,0,42100,-70667,42.1,-70.667,MA
722256,64774,20130404,40.3,24,17.6,24,9999.9,0,1022,24,10,24,7.1,24,12,19,   53.6*,  32.0*, 0.00I,999.9,0,42100,-70667,42.1,-70.667,MA
722256,64774,20130405,39.8,9,30,9,9999.9,0,1018.5,9,10,9,7.7,9,11.1,19,   42.8*,  39.2*, 0.00I,999.9,0,42100,-70667,42.1,-70.667,MA
722260,13895,20130402,63.4,24,44.5,24,1018.6,24,1011.3,24,10,24,2.5,24,7,999.9,78.1,48, 0.00G,999.9,0,32300,-86408,32.3,-86.408,AL
722260,13895,20130403,59.5,24,39.2,24,1018,23,1010.7,23,10,24,6.8,24,15,22,78.1,48, 0.00G,999.9,10000,32300,-86408,32.3,-86.408,AL
722260,13895,20130404,55.3,24,49.2,24,1015.1,21,1007.9,24,9.2,24,10.1,24,18.1,21,   62.1*,  51.8*, 0.12G,999.9,10000,32300,-86408,32.3,-86.408,AL
722260,13895,20130405,50.1,9,47.1,9,1014.2,7,1006.7,9,6.7,9,6.3,9,9.9,999.9,   52.0*,  48.0*, 0.09G,999.9,10000,32300,-86408,32.3,-86.408,AL
722261,99999,20130402,71.7,24,61.3,24,9999.9,0,9999.9,0,7.4,24,4.1,24,8.9,14,   86.0*,  59.0*, 0.00I,999.9,0,27267,-80850,27.267,-80.85,FL
